city,lat,long,temp,humidity,cloudiness,wind speed
clyde river,70.4692,-68.5914,-1.87,100,90,1.54
sfantu gheorghe,45.8667,25.7833,10.03,90,100,2.33
cape town,-33.9258,18.4232,10.07,97,75,0.45
dawlatabad,36.4141,64.9053,33.25,11,0,2.25
punta arenas,-53.15,-70.9167,3.06,87,75,7.2
